id,ano,semestre,demandaEstimada,idProfessor,idDisciplina,comment
20220201,2022,2,9,45,2,
20220202,2022,2,6,46,2,
20220203,2022,2,28,7,9,
20220204,2022,2,25,3,10,
20220205,2022,2,35,48,11,
20220206,2022,2,40,10,12,
20220207,2022,2,12,2,13,
20220208,2022,2,37,1,13,
20220209,2022,2,24,43,14,
20220210,2022,2,21,36,15,
20220211,2022,2,15,37,17,
20220212,2022,2,15,47,23,
20220213,2022,2,3,12,28,
20220214,2022,2,12,11,29,
20220215,2022,2,10,6,30,
20220216,2022,2,14,3,31,
20220217,2022,2,10,4,37,
20220218,2022,2,14,42,39,
20220219,2022,2,3,3,40,
20220220,2022,2,14,36,42,
20220221,2022,2,13,48,43,
20220222,2022,2,8,1,43,
20220223,2022,2,12,2,44,
20220224,2022,2,10,4,45,
20220225,2022,2,7,30,46,
20220226,2022,2,20,6,47,
20220227,2022,2,NULL,1,56,
20220228,2022,2,NULL,3,58,
20220229,2022,2,NULL,3,59,
20220230,2022,2,9,1,65,
20230109,2023,1,NULL,42,7,
20230110,2023,1,4,36,16,
20230111,2023,1,5,36,18,
20230112,2023,1,5,38,20,
20230113,2023,1,3,36,22,
20230114,2023,1,NULL,37,22,
20230115,2023,1,NULL,38,22,
20230116,2023,1,13,13,23,
20230117,2023,1,12,8,24,
20230118,2023,1,45,51,25,
20230119,2023,1,35,4,26,
20230120,2023,1,45,3,27,
20230121,2023,1,45,3,27,
20230122,2023,1,16,3,27,
20230123,2023,1,16,3,27,
20230124,2023,1,30,8,28,
20230125,2023,1,11,10,34,
20230201,2023,2,NULL,NULL,2,
20230202,2023,2,NULL,NULL,7,
20230203,2023,2,NULL,7,8,
20230204,2023,2,NULL,9,10,
20230205,2023,2,NULL,49,11,
20230206,2023,2,NULL,8,12,
20230207,2023,2,NULL,1,13,
20230208,2023,2,NULL,NULL,14,
20230209,2023,2,NULL,NULL,16,
20230210,2023,2,NULL,NULL,16,
20230211,2023,2,NULL,NULL,18,
20230212,2023,2,NULL,8,28,
20230213,2023,2,NULL,28,29,
20230214,2023,2,NULL,50,30,
20230215,2023,2,NULL,3,31,
20230216,2023,2,NULL,2,32,
20230217,2023,2,NULL,4,33,
20230218,2023,2,NULL,NULL,39,
20230219,2023,2,NULL,3,40,
20230220,2023,2,NULL,1,41,
20230221,2023,2,NULL,5,42,
20230222,2023,2,NULL,5,43,
20230223,2023,2,NULL,2,44,
20230224,2023,2,NULL,4,45,
20230225,2023,2,NULL,1,56,
20230226,2023,2,NULL,3,58,
20230227,2023,2,NULL,3,59,
20230228,2023,2,NULL,2,67,
20230229,2023,2,NULL,5,68,
20230230,2023,2,NULL,50,70,
20240101,2024,1,30,3,4,
20240102,2024,1,35,9,2,
20240103,2024,1,27,30,3,
20240104,2024,1,27,2,5,
20240105,2024,1,35,7,1,
20240106,2024,1,27,1,6,
20240107,2024,1,30,42,7,
20240108,2024,1,25,13,23,
20240109,2024,1,15,8,24,
20240110,2024,1,9,22,20,
20240111,2024,1,9,23,22,
20240112,2024,1,30,31,25,
20240113,2024,1,25,4,26,
20240114,2024,1,25,3,27,
20240115,2024,1,10,10,34,
20240116,2024,1,30,6,35,
20240117,2024,1,20,2,37,
20240118,2024,1,27,5,36,
20240119,2024,1,28,4,38,
20240120,2024,1,30,43,39,
20240121,2024,1,10,1,48,
20240122,2024,1,6,6,47,
20240123,2024,1,12,29,49,
20240124,2024,1,5,32,46,
20240125,2024,1,10,5,64,
20240126,2024,1,7,1,65,
20240127,2024,1,5,1,56,
20240128,2024,1,5,3,58,
20240129,2024,1,4,3,59,
20250101,2025,1,35,7,1,
20250102,2025,1,35,9,2,
20250103,2025,1,27,30,3,
20250104,2025,1,30,3,4,
20250105,2025,1,27,2,5,
20250106,2025,1,27,1,6,
20250107,2025,1,30,42,7,
20250108,2025,1,9,22,20,
20250109,2025,1,9,23,22,
20250110,2025,1,25,13,23,
20250111,2025,1,15,8,24,
20250112,2025,1,30,31,25,
20250113,2025,1,25,4,26,
20250114,2025,1,25,3,27,
20250115,2025,1,10,10,34,
20250116,2025,1,30,6,35,
20250117,2025,1,27,5,36,
20250118,2025,1,20,2,37,
20250119,2025,1,28,4,38,
20250120,2025,1,30,43,39,
20250121,2025,1,5,32,46,
20250122,2025,1,6,6,47,
20250123,2025,1,10,1,48,
20250124,2025,1,12,29,49,
20250125,2025,1,5,1,56,
20250126,2025,1,5,3,58,
20250127,2025,1,4,3,59,
20250128,2025,1,10,5,64,
20250129,2025,1,7,1,65,
20280101,2028,1,NULL,1,NULL,"Scene: Conflicts: Professor multi alloc"
20280102,2028,1,NULL,1,NULL,"Scene: Conflicts: Professor multi alloc"
20280103,2028,1,NULL,2,NULL,"Scene: Conflicts: Professor multi alloc"
20280104,2028,1,NULL,2,NULL,"Scene: Conflicts: Professor multi alloc"
20280105,2028,1,NULL,3,NULL,"Scene: Conflicts: Professor multi alloc"
20280106,2028,1,NULL,3,NULL,"Scene: Conflicts: Professor multi alloc"
20280107,2028,1,NULL,4,NULL,"Scene: Conflicts: Professor multi alloc"
20280108,2028,1,NULL,4,NULL,"Scene: Conflicts: Professor multi alloc"
20280201,2028,2,NULL,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280202,2028,2,19,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280203,2028,2,21,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280204,2028,2,29,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280205,2028,2,31,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280206,2028,2,39,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280207,2028,2,41,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280208,2028,2,66,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280209,2028,2,66,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280301,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280302,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280303,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280304,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280305,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280306,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280307,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280308,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20290102,2029,1,NULL,NULL,2,"Scene: Subjects: odd Semester - No ClassTime"
20290103,2029,1,NULL,NULL,10,"Scene: Subjects: odd Semester - No ClassTime"
20290104,2029,1,NULL,NULL,24,"Scene: Subjects: odd Semester - No ClassTime"
20290105,2029,1,NULL,NULL,28,"Scene: Subjects: odd Semester - No ClassTime"
20290106,2029,1,NULL,NULL,35,"Scene: Subjects: odd Semester - No ClassTime"
20290107,2029,1,NULL,NULL,44,"Scene: Subjects: odd Semester - No ClassTime"
20290108,2029,1,NULL,NULL,47,"Scene: Subjects: odd Semester - No ClassTime"
20290109,2029,1,NULL,NULL,57,"Scene: Subjects: odd Semester - No ClassTime"
20290110,2029,1,NULL,NULL,56,"Scene: Subjects: odd Semester - No ClassTime"
20290111,2029,1,NULL,NULL,59,"Scene: Subjects: odd Semester - No ClassTime"
20290202,2029,2,NULL,NULL,2,"Scene: Subjects: even semester - No ClassTime"
20290203,2029,2,NULL,NULL,10,"Scene: Subjects: even semester - No ClassTime"
20290204,2029,2,NULL,NULL,24,"Scene: Subjects: even semester - No ClassTime"
20290205,2029,2,NULL,NULL,28,"Scene: Subjects: even semester - No ClassTime"
20290206,2029,2,NULL,NULL,35,"Scene: Subjects: even semester - No ClassTime"
20290207,2029,2,NULL,NULL,44,"Scene: Subjects: even semester - No ClassTime"
20290208,2029,2,NULL,NULL,47,"Scene: Subjects: even semester - No ClassTime"
20290209,2029,2,NULL,NULL,57,"Scene: Subjects: even semester - No ClassTime"
20290210,2029,2,NULL,NULL,56,"Scene: Subjects: even semester - No ClassTime"
20290211,2029,2,NULL,NULL,59,"Scene: Subjects: even semester - No ClassTime"
20290302,2029,3,NULL,NULL,2,"Scene: Subjects: summer semester - No ClassTime"
20290303,2029,3,NULL,NULL,10,"Scene: Subjects: summer semester - No ClassTime"
20290304,2029,3,NULL,NULL,24,"Scene: Subjects: summer semester - No ClassTime"
20290305,2029,3,NULL,NULL,28,"Scene: Subjects: summer semester - No ClassTime"
20290306,2029,3,NULL,NULL,35,"Scene: Subjects: summer semester - No ClassTime"
20290307,2029,3,NULL,NULL,44,"Scene: Subjects: summer semester - No ClassTime"
20290308,2029,3,NULL,NULL,47,"Scene: Subjects: summer semester - No ClassTime"
20290309,2029,3,NULL,NULL,57,"Scene: Subjects: summer semester - No ClassTime"
20290310,2029,3,NULL,NULL,56,"Scene: Subjects: summer semester - No ClassTime"
20290311,2029,3,NULL,NULL,59,"Scene: Subjects: summer semester - No ClassTime"
20290510,2029,1,NULL,NULL,91,NULL
20290511,2029,1,NULL,NULL,92,NULL
20290512,2029,1,NULL,NULL,93,NULL
20290513,2029,1,NULL,NULL,94,NULL
20290514,2024,1,NULL,NULL,19,NULL
20290515,2029,1,NULL,NULL,NULL,NULL
20290516,2029,2,NULL,NULL,91,NULL
20290517,2029,2,NULL,NULL,92,NULL
20290518,2029,2,NULL,NULL,93,NULL
20290519,2029,2,NULL,NULL,94,NULL
20290520,2029,2,NULL,NULL,NULL,NULL
20290521,2029,3,NULL,NULL,91,NULL
20290522,2029,3,NULL,NULL,92,NULL
20290523,2029,3,NULL,NULL,93,NULL
20290524,2029,3,NULL,NULL,94,NULL
20290525,2029,3,NULL,NULL,NULL,NULL
