duration,startHour,day,year,semester,expectedSemester,subject,professor,expectedDemand,room,classDescription
2,8,TER,2024,1,1,Calculo I,Rigoberto,35,,
2,8,TER,2024,1,3,Calculo III,Oscar,15,,
2,8,TER,2024,1,5,P Estocáticos,Guill,10,Inf2,
2,8,QUA,2024,1,1,Introd à CC,Rivera,27,sala,
2,8,QUA,2024,1,3,Arquitet C,Bolsista,30,,
2,8,QUI,2024,1,1,Calculo I,,,,
2,8,QUI,2024,1,3,Calculo III,Oscar,15,,
2,8,QUI,2024,1,5,P Estocáticos,Guill,10,Inf2,
2,8,SEX,2024,1,1,Calculo I,,,,
2,8,SEX,2024,1,3,Arquitet C,Bolsista,30,,
2,10,SEG,2024,1,3,Est Dados I,Tang,25,Bcct,
2,10,SEG,2024,1,5,Redes de Comp,João,30,sala,
2,10,SEG,2024,1,9,Algoritmos em Grafos,L Mariano,,Inf1,
2,10,TER,2024,1,3,Paradig LP,Ausb,25,Inf2,
2,10,TER,2024,1,5,L Formais,Annabell,20,sala,
2,10,TER,2024,1,7,Interface HM,Rivera,10,inf1,
2,10,QUA,2024,1,1,Org Comp,Bolsista,27,,
2,10,QUA,2024,1,3,Est Dados I,Tang,25,Bcct,
2,10,QUA,2024,1,5,Redes de Comp,João,30,sala,
2,10,QUA,2024,1,9,Algoritmos em Grafos,L Mariano,,Inf1,
2,10,QUI,2024,1,3,Paradig LP,Ausb,25,Inf2,
2,10,QUI,2024,1,5,L Formais,Annabell,20,sala,
2,10,QUI,2024,1,7,Interface HM,Rivera,10,inf1,
2,10,SEX,2024,1,1,Org Comp,Bolsista,27,,
2,10,SEX,2024,1,5,Computação e Sociedade,Bolsista,30,,
2,10,SEX,2024,1,9,Proj Monografia,Rivera,3,Inf1,
2,14,SEG,2024,1,1,Lógica Mat,Tang,30,,
2,14,SEG,2024,1,3,Método Mat,Beggio,25,,
2,14,SEG,2024,1,2,Fisica I,,,,B
2,14,SEG,2024,1,3,Fisica II,,,,A
2,14,SEG,2024,1,3,Fisica Experimental II,,,,C
2,14,SEG,2024,1,7,Sistemas Distribuidos,João,6,Inf1,
2,14,TER,2024,1,1,Geo Analit,Elba,35,,
2,14,TER,2024,1,5,Eng Software,Ausb,28,Bcct,
2,14,TER,2024,1,7,Proc Imagens,Rivera,5,inf1,
2,14,QUA,2024,1,1,Lógica Mat,Tang,30,,
2,14,QUA,2024,1,3,Método Mat,Beggio,25,,
2,14,QUA,2024,1,2,Fisica I,,,,B
2,14,QUA,2024,1,3,Fisica II,,,,A
2,14,QUA,2024,1,7,Sistemas Distribuidos,João,6,Inf1,
2,14,QUI,2024,1,1,Geo Analit,Elba,35,,
2,14,QUI,2024,1,5,Eng Software,Ausb,28,Bcct,
2,14,QUI,2024,1,7,Proc Imagens,Rivera,5,inf1,
2,14,SEX,2024,1,1,Inglês Instrumental,,,,
2,14,SEX,2024,1,10,Estágio Sup,Tang,,Inf1,
2,16,SEG,2024,1,3,Fisica Experimental II,,,,A
2,16,SEG,2024,1,5,BD I,L Mariano,27,Bcct,
2,16,SEG,2024,1,7,Teste Software,,,Inf1,
2,16,TER,2024,1,1,Prog I,Annabell,27,Bcct,
2,16,TER,2024,1,7,Metodologia,Molina,,,
2,16,QUA,2024,1,3,Fisica II,,5,,C
2,16,QUA,2024,1,5,BD I,L Mariano,27,Bcct,
2,16,QUA,2024,1,7,Teste Software,,,Inf1,
2,16,QUI,2024,1,1,Prog I,Annabell,27,Bcct,
2,16,QUI,2024,1,7,Metodologia,Molina,,,
2,16,QUI,2024,1,9,Algoritmos em Grafos,L Mariano,,Inf1,
2,16,SEX,2024,1,1,Inglês Instrumental I,,,,
2,16,SEX,2024,1,10,Monografia,Tang,,Inf1,
2,18,SEG,2024,1,3,Fisica Experimental II,,,,B
2,8,SEG,2023,2,2,Est Discretas,Oscar,,106cct,
2,8,TER,2023,2,2,Calculo II,Rigoberto,,106cct,
2,8,TER,2023,2,6,Int Artificial,Annabell,,Inf1,
2,8,QUA,2023,2,2,Est Discretas,Oscar,,106cct,
2,8,QUI,2023,2,2,Calculo II,Rigoberto,,106cct,
2,8,QUI,2023,2,6,Int Artificial,Annabell,,Inf1,
2,8,QUI,2023,2,6,Int Comp Grafic,,3,Inf2,
2,8,SEX,2023,2,2,Inglês Instrumental II,,,,B
2,8,SEX,2023,2,5,Comp e Socied,,23,107,
2,10,SEG,2023,2,4,Estruturas Dados II,Tang,,,
2,10,SEG,2023,2,6,B Dados II,L Mariano,,,
2,10,TER,2023,2,1,Calculo I,,,106cct,
2,10,TER,2023,2,4,Analise Proj Sist,Ausb,,109A,
2,10,TER,2023,2,4,Intr Prob e Estatística,Arica,,,
2,10,TER,2023,2,8,Eng de Dados,Annabell,,,
2,10,QUA,2023,2,4,Estruturas Dados II,,26,109A,
2,10,QUA,2023,2,6,B Dados II,,11,Inf1,
2,10,QUA,2023,2,9,Proj Monografia,Rivera,,Inf2,
2,10,QUI,2023,2,1,Calculo I,,,106cct,
2,10,QUI,2023,2,4,Analise Proj Sist,,,Inf1 e Inf2,
2,10,QUI,2023,2,8,Eng de Dados,Annabell,,,
2,10,SEX,2023,2,1,Calculo I,,,106cct,
2,10,SEX,2023,2,2,Inglês Instrumental II,,,,B
2,10,SEX,2023,2,4,Int Prob Estatístic,,10,107,
2,13,SEX,2023,2,1,Inglês Instrumental I,,,,L
2,14,SEG,2023,2,4,Calc Numérico,Oscar,,108cct,
2,14,SEG,2023,2,6,Pesq Operacional,Tang,,Inf1,
2,14,SEG,2023,2,8,Prog Concorrente,L Mariano,,,
2,14,TER,2023,2,2,Algebra Linear,Elba,,106cct,
2,14,TER,2023,2,4,Prog OO,Annabell,,111P5,
2,14,TER,2023,2,6,Par OO Desenv,Ausb,,Inf1,
2,14,QUA,2023,2,2,Lógica Digital,Andre,,109A,
2,14,QUA,2023,2,4,Calc Numérico,Oscar,,108cct,
2,14,QUA,2023,2,6,Pesq Operacional,Tang,,Inf1,
2,14,QUA,2023,2,8,Prog Concorrente,,,Inf2,
2,14,QUI,2023,2,2,Algebra Linear,Elba,,106cct,
2,14,QUI,2023,2,4,Prog OO,Annabell,,111P5,
2,14,QUI,2023,2,6,Par OO Desenv,Ausb,,Inf1,
2,14,SEX,2023,2,1,Inglês Instrumental I,,,,L
2,14,SEX,2023,2,2,Lógica Digital,Andre,,109A,
2,14,SEX,2023,2,10,Estágio Sup,Tang,,,
2,16,SEG,2023,2,2,Fisica 1,,,106 e 109B,A e B
2,16,SEG,2023,2,6,Int Comp Grafica,Rivera,,Inf2,
2,16,SEG,2023,2,8,Comp Ambiental,Eduardo,,,
2,16,TER,2023,2,2,Programação II,Rivera,,206cct,
2,16,TER,2023,2,4,Sist Operacional,Eduardo,,,
2,16,TER,2023,2,6,Compiladores,L Mariano,,,
2,16,QUA,2023,2,2,Fisica 1,,,106 e 109B,A e B
2,16,QUA,2023,2,2,Programação II,,,Ban cct,CC2
2,16,QUA,2023,2,8,Comp Ambiental,,,Inf1,
2,16,QUI,2023,2,2,Programação II,,,Ban cct,CC1
2,16,QUI,2023,2,4,Sist Operacional,,,108cct,
2,16,QUI,2023,2,6,Compiladores,,,Inf1,
2,16,SEX,2023,2,1,Inglês Instrumental I,,,,L
2,16,SEX,2023,2,10,Monografia,Tang,,,
2,18,QUA,2023,2,2,Fisica Experimen 1,,,205cct,E
2,20,SEG,2023,2,2,Fisica Experimen 1,,,205cct,LI
2,8,SEG,2023,1,1,Lógica Mat,Tang,40,207P3,
2,8,SEG,2023,1,3,Arquitet C,Sanya,45,106P3,
2,8,SEG,2023,1,7,Segurança Com,Ausb,10,inf2,
2,8,TER,2023,1,1,Calculo I,Rigob,40,108P3,
2,8,TER,2023,1,3,Calculo III,Oscar,12,106P3,
2,8,TER,2023,1,5,P Estocáticos,Guill,11,inf2,
2,8,QUA,2023,1,1,Lógica Mat,Tang,40,207P3,
2,8,QUA,2023,1,3,Arquitet C,Sanya,45,106P3,
2,8,QUA,2023,1,7,Segurança Com,Ausb,10,inf2,
2,8,QUI,2023,1,1,Calculo I,Rigob,40,108P3,
2,8,QUI,2023,1,3,Calculo III,Oscar,60,106P3,
2,8,QUI,2023,1,5,P Estocáticos,Guillermo,11,,
2,8,SEX,2023,1,1,Calculo I,Rigob,40,108P3,
2,8,SEX,2023,1,7,Interface HM,Rivera,12,inf1,
2,10,SEG,2023,1,1,Org Comp,Sanya,35,205_E1,
2,10,SEG,2023,1,3,Est Dados I,Tang,45,106P3,
2,10,SEG,2023,1,5,L Formais,Annabell,10,inf1,
2,10,SEG,2023,1,7,Teste Software,João,8,inf1,
2,10,TER,2023,1,1,Prog I,Annabell,45,106P3,
2,10,TER,2023,1,7,Interface HM,Rivera,12,inf1,
2,10,QUA,2023,1,1,Prog I,L Mariano,25,P3,B_R
2,10,QUA,2023,1,3,Est Dados I,Tang,45,106P3,
2,10,QUA,2023,1,5,L Formais,Annabell,10,inf1,
2,10,QUA,2023,1,7,Teste Software,João,8,inf1,
2,10,QUI,2023,1,1,Org Comp,Sanya,35,205_E1,
2,10,QUI,2023,1,8,Empreendedorismo,,,109A,
2,10,SEX,2023,1,1,Prog I,Annabell,25,BanP3,C
2,10,SEX,2023,1,3,Est Dados I,Tang,16,inf2,CC1
2,10,SEX,2023,1,9,Proj Monografia,Rivera,3,Inf1,
2,14,SEG,2023,1,3,Método Mat,Beggio,13,106P3,
2,14,SEG,2023,1,3,Fisica I,,4,,B
2,14,SEG,2023,1,3,Fisica Experimental II,,,,C
2,14,SEG,2023,1,4,C Numérico,Oscar,30,108P3,
2,14,TER,2023,1,1,Geo Analit,Elba,60,106P3,
2,14,TER,2023,1,3,Paradig LP,Ausb,35,BanP3,
2,14,TER,2023,1,7,Proc Imagens,Rivera,5,inf1,
2,14,QUA,2023,1,3,Método Mat,Beggio,13,106P3,
2,14,QUA,2023,1,3,Fisica I,,4,,B
2,14,QUA,2023,1,4,C Numérico,Oscar,30,108P3,
2,14,QUI,2023,1,1,Geo Analit,Elba,60,106P3,
2,14,QUI,2023,1,3,Paradig LP,Ausb,35,BanP3,
2,14,QUI,2023,1,7,Proc Imagens,Rivera,5,inf1,
2,14,SEX,2023,1,1,Inglês Instrumental I,,,,
2,14,SEX,2023,1,10,Estágio Sup,Tang,,Inf1,
2,16,SEG,2023,1,3,Fisica II,,5,,C
2,16,SEG,2023,1,5,Redes de Comp,João,6,Inf1,
2,16,TER,2023,1,3,Est Dados I CC1,Tang,16,inf2,
2,16,TER,2023,1,5,BD I,L Mariano,13,inf1,
2,16,TER,2023,1,7,Metodologia,Molina,,105P3,
2,16,QUA,2023,1,1,Introd à CC,Rivera,35,109A,
2,16,QUA,2023,1,3,Fisica II,,5,,C
2,16,QUA,2023,1,5,Redes de Comp,João,6,Inf1,
2,16,QUI,2023,1,3,Fisica Experimental II,,,,C
2,16,QUI,2023,1,5,BD I,L Mariano,13,inf1,
2,16,QUI,2023,1,7,Metodologia,Molina,,,
2,16,SEX,2023,1,1,Inglês Instrumental I,,,,
2,16,SEX,2023,1,10,Monografia,Tang,,Inf1,
2,18,SEG,2023,1,2,Fisica Experimental I,,5,,C
2,18,SEG,2023,1,3,Fisica Experimental II,,3,,A
2,8,SEG,2022,2,2,Est Discretas,Guillermo,40,,
2,8,SEG,2022,2,8,Heurísticas,Tang,9,,
2,8,TER,2022,2,2,Calculo II,Oscar,25,,
2,8,TER,2022,2,6,Int Artificial,Annabell,12,,
2,8,QUA,2022,2,2,Est Discretas,Guillermo,40,,
2,8,QUA,2022,2,7,Sist Distribuidos,João,20,,
2,8,QUI,2022,2,2,Calculo II,Oscar,25,,
2,8,QUI,2022,2,6,Int Artificial,Annabell,12,,
2,8,QUI,2022,2,7,Teste Software,Bolsista,7,,
2,8,SEX,2022,2,2,Inglês II,Bolsista,24,,
2,8,SEX,2022,2,5,Comp e Socied,Bolsista,14,,
2,8,SEX,2022,2,7,Sist Distribuidos,João,20,,
2,10,SEG,2022,2,2,Fisica Geral I,,21,,
2,10,SEG,2022,2,6,Pesquisa Operacional,Tang,3,,
2,10,TER,2022,2,1,Calculo I,Bruna,9,,
2,10,TER,2022,2,3,Paradigmas Ling,Ausb,10,,
2,10,TER,2022,2,6,Compiladores,Bolsista,14,,
2,10,QUA,2022,2,2,Fisica Geral I,,21,,
2,10,QUA,2022,2,4,Sist Operacional,João,10,,
2,10,QUA,2022,2,6,Pesquisa Operacional,Tang,3,,
2,10,QUI,2022,2,2,Calculo II,Oscar,20,,
2,10,SEX,2022,2,1,Calculo I,Bruna,9,,
2,10,SEX,2022,2,2,Inglês II,Bolsista,24,,
2,10,SEX,2022,2,4,Sist Operacional,João,10,,
2,10,SEX,2022,2,6,Par OO Desenv,Ausb,10,,
2,10,SEX,2022,2,9,Projeto Monografia,Rivera,,,
2,11,QUI,2022,2,1,Calculo I,Bruna,9,,
2,11,QUI,2022,2,3,Paradigmas Ling,Ausb,10,,
2,11,QUI,2022,2,6,Compiladores,Bolsista,14,,
2,12,QUI,2022,2,1,Calculo I,Bruna,9,,
2,14,SEG,2022,2,4,Calculo Numérico,Wilma,3,,
2,14,SEG,2022,2,8,Proc Imagens,Rivera,8,,
2,14,TER,2022,2,2,Algebra Linear,Elba,28,,
2,14,TER,2022,2,4,Prog OO,Annabell,12,,
2,14,TER,2022,2,6,Par OO Desenv,Ausb,10,,
2,14,TER,2022,2,7,Teste Software,Bolsista,7,,
2,14,QUA,2022,2,2,Lógica Digital,Sânya,35,,
2,14,QUA,2022,2,4,Calculo Numérico,Wilma,3,,
2,14,QUA,2022,2,8,Proc Imagens,Rivera,8,,
2,14,QUI,2022,2,2,Algebra Linear,Elba,28,,
2,14,QUI,2022,2,4,Prog OO,Annabell,12,,
2,14,QUI,2022,2,8,Heurísticas,Tang,9,,
2,14,SEX,2022,2,2,Lógica Digital,Sânya,35,,
2,14,SEX,2022,2,10,Estágio Sup,Tang,,,
2,16,SEG,2022,2,1,Calculo I,Niander,6,,
2,16,SEG,2022,2,2,Programação II,Rivera,37,,
2,16,SEG,2022,2,4,Estruturas Dados II,Tang,14,,
2,16,TER,2022,2,1,Calculo I,Niander,6,,
2,16,TER,2022,2,2,Programação II,Rivera,37,,
2,16,TER,2022,2,3,Mét Matemáticos,Rebec,15,,
2,16,QUA,2022,2,2,Programação II,Rivera,37,,
2,16,QUA,2022,2,4,Estruturas Dados II,Tang,14,,
2,16,QUA,2022,2,6,Banco de Dados II,Sânya,13,,
2,16,QUI,2022,2,1,Calculo I,Niander,6,,
2,16,QUI,2022,2,3,Mét Matemáticos,Rebec,15,,
2,16,SEX,2022,2,6,Banco de Dados II,Sânya,13,,
2,16,SEX,2022,2,10,Monografia,Tang,,,
2,18,SEG,2022,2,4,Estatística e Prob,Nelson,12,,
2,18,QUA,2022,2,4,Estatística e Prob,Nelson,12,,
2,18,QUI,2022,2,2,Lab Fisica Geral I,,15,,
