"['SALA 104  Prédio do CCT - 2o. Semestre 2022', '', '', '', '', '', '']","['Capacidade: 35 alunos', '', '', '', '', '', '']","['Horário', 'SEGUNDA', 'TERÇA', 'QUARTA', 'QUINTA', 'SEXTA', 'SÁBADO']","['07:00 - 08:00', '', '', '', '', '', '']","['08:00 - 09:00', '', 'Materiais Compósitos Prof. Raul', 'Caracterização de Materiais II Prof. Djalma', 'Materiais Compósitos Prof. Raul', 'Caracterização de Materiais II Prof. Djalma', '']","['09:00 - 10:00', '', '', '', '', '', '']","['10:00 - 11:00', 'Física Geral I CC', 'Física Geral I EM-EP', 'Física Geral I CC', 'Física Geral I EM-EP', 'Materiais Poliméricos II Prof. Rubén', '']","['11:00 - 12:00', '', '', '', '', '', '']","['12:00 - 13:00', '', '', '', '', '', '']","['13:00 - 14:00', '', '', '', '', '', '']","['14:00 - 15:00', 'Processamento de Imegens Prof. Rivera', 'Programação Orientada a Objetos Profa. Annabell', 'Processamento de Imegens Prof. Rivera', 'Programação Orientada a Objetos Profa. Annabell', '', 'Monitoria Química Geral I']","['15:00 - 16:00', '', '', '', '', '', '']","['16:00 - 17:00', 'Term,odinâmica para Engenharias', 'Organização do Trabalho Prof. Edson', 'Term,odinâmica para Engenharias', 'Organização do Trabalho Prof. Edson', '', 'Monitoria Química Geral II']","['17:00 - 18:00', '', '', '', '', '', '']","['18:00 - 19:00', 'Estatística e', 'Cálculo IV', 'Estatística e', 'Cálculo IV', 'Laboratório de', 'Laboratório de Matemática I']","['19:00 - 20:00', 'Prof. Nelson', 'Prof. Rigoberto', 'Prof. Nelson', 'Prof. Rigoberto', 'Prof. Nilson', 'Informática na Educação']","['20:00 - 21:00', '', 'Física Geral I LM-LQ', 'Informática na Educação', 'Física Geral I LM-LQ', 'História da Matemática', '']","['21:00 - 22:00', '', '', '', '', '', '']"
"['SALA 105  Prédio do CCT - 2o. Semestre 2022', '', '', '', '', '', '']","['Capacidade: 35 alunos', '', '', '', '', '', '']","['Horário', 'SEGUNDA', 'TERÇA', 'QUARTA', 'QUINTA', 'SEXTA', 'SÁBADO']","['07:00 - 08:00', '', '', '', '', '', '']","['08:00 - 09:00', '', 'Materiais Cerâmicos I Prof. Angelus', 'Metaheurística Aplicada à', 'Materiais Cerâmicos I Prof. Angelus', 'Geometria', '']","['09:00 - 10:00', '', '', '', '', '', '']","['10:00 - 11:00', 'Química Orgânica', 'Gerência da Qualidade', 'Otimização Profa. Jacqueline', 'Materiais Poliméricos II Prof. Rubén', 'Prof. Luiz Zeferino', '']","['11:00 - 12:00', '', '', '', '', '', '']","['12:00 - 13:00', '', '', '', '', '', '']","['13:00 - 14:00', '', '', '', '', '', '']","['14:00 - 15:00', 'Química Geral II PP-outros', 'Álgebra Linear Prof. Paulo Dias', 'Monitoria Química Geral I', 'Álgebra Linear Prof. Paulo Dias', 'Aritmética', '']","['15:00 - 16:00', '', '', '', '', '', '']","['16:00 - 17:00', 'Monitoria Química Geral I', 'Paradigma OO Desenvolvimento Prof. Ausberto', 'Estrutura de Dados II Prof. Tang', 'Paradigma OO Desenvolvimento Prof. Ausberto', 'Prof. Oscar', '']","['17:00 - 18:00', '', '', '', '', '', '']","['18:00 - 19:00', 'Instrumentação para o Ensino de Física I', 'Métodos para Física Profa. Rebeca', '', 'Métodos para Física Profa. Rebeca', '', '']","['19:00 - 20:00', '', '', '', '', '', '']","['20:00 - 21:00', 'Fundamentos da Física Térmica', 'Mecânica II', '', 'Mecânica II', '', '']","['21:00 - 22:00', '', '', '', '', '', '']"
"['SALA 106  Prédio do CCT - 2o. Semestre 2022', '', '', '', '', '', '']","['Capacidade: 65 alunos', '', '', '', '', '', '']","['Horário', 'SEGUNDA', 'TERÇA', 'QUARTA', 'QUINTA', 'SEXTA', 'SÁBADO']","['07:00 - 08:00', '', '', '', '', '', '']","['08:00 - 09:00', 'Estruturas Discretas Prof. Luis Guillermo', 'Cálculo Diferencial e Integral II Prof. Oscar', 'Estruturas Discretas Prof. Luis Guillermo', 'Cálculo Diferencial e Integral II', 'Construção Civil Prof. Jonas', '']","['09:00 - 10:00', '', '', '', '', '', '']","['10:00 - 11:00', '', 'Cálculo Diferencial', '', '', 'Cálculo Diferencial', '']","['11:00 - 12:00', '', 'Profa. Bruna', '', 'Cálculo Diferencial', 'Profa. Bruna', '']","['12:00 - 13:00', '', '', '', 'Profa. Bruna', '', '']","['13:00 - 14:00', '', '', '', '', '', '']","['14:00 - 15:00', 'Cálculo Numérico Prof. Wilma', 'Álgebra Linear Profa. Elba', 'Cálculo Numérico Prof. Wilma', 'Álgebra Linear Profa. Elba', 'Inglês Instrumental I Turma L EC, EP Prof. Sergio', '']","['15:00 - 16:00', '', '', '', '', '', '']","['16:00 - 17:00', 'Física Geral I', 'Cálculo III', 'Física Geral I', 'Cálculo III', '', '']","['17:00 - 18:00', 'EC-PP', 'Prof. Rigoberto', 'EC-PP', 'Prof. Rigoberto', '', '']","['18:00 - 19:00', 'Química Geral II Prof. Jefferson', 'Cálculo Diferencial e Integral III - IV Prof. Rigoberto', 'Química Geral II Prof. Jefferson', 'Cálculo Diferencial e Integral III - IV Prof. Rigoberto', '', '']","['19:00 - 20:00', '', '', '', '', '', '']","['20:00 - 21:00', 'Química Geral I', 'Física Geral II LQ-LM', 'Química Geral I', 'Física Geral II LQ-LM', '', '']","['21:00 - 22:00', '', '', '', '', '', '']"
"['SALA 107  Prédio do CCT - 2o. Semestre 2022', '', '', '', '', '', '']","['Capacidade: 35 alunos', '', '', '', '', '', '']","['Horário', 'SEGUNDA', 'TERÇA', 'QUARTA', 'QUINTA', 'SEXTA', 'SÁBADO']","['07:00 - 08:00', '', '', '', '', '', '']","['08:00 - 09:00', '', 'Int. à Probabilidade e Estatística Prof. Arica', 'Tratamentos térmicos Profa. Elaine', 'Int. à Probabilidade e Estatística Prof. Arica', 'Ciência dos', '']","['09:00 - 10:00', '', '', '', '', '', '']","['10:00 - 11:00', 'Pesquisa Operacional Prof. Tang', 'Tratamentos térmicos Profa. Elaine', 'Pesquisa Operacional Prof. Tang', '', 'Prof. Angelus', '']","['11:00 - 12:00', '', '', '', '', '', '']","['12:00 - 13:00', '', '', '', '', '', '']","['13:00 - 14:00', '', '', '', '', '', '']","['14:00 - 15:00', 'Prof. Sérgio EM', 'Álgebra Linear Profa. Rebeca', 'Geral I Prof. Passoni', 'Álgebra Linear Profa. Rebeca', 'Química Orgânica', '']","['15:00 - 16:00', '', '', '', '', '', '']","['16:00 - 17:00', 'Álgebra Linear Profa. Wilma', 'Processos de Fabricação Prof. Policani', 'Álgebra Linear Profa. Wilma', 'Processos de Fabricação Prof. Policani', '', '']","['17:00 - 18:00', '', '', '', '', '', '']","['18:00 - 19:00', '', 'Física', 'Evolução dos', 'Cálculo Diferencial e Integral II Turma LF - LQ Prof. Paulo Beggio', '', '']","['19:00 - 20:00', '', '', '', '', '', '']","['20:00 - 21:00', '', 'Ondulatória', 'Física II', '', '', '']","['21:00 - 22:00', '', '', '', '', '', '']"
"['SALA 108  Prédio do CCT - 2o. Semestre 2022', '', '', '', '', '', '']","['Capacidade: 40 alunos', '', '', '', '', '', '']","['Horário', 'SEGUNDA', 'TERÇA', 'QUARTA', 'QUINTA', 'SEXTA', 'SÁBADO']","['07:00 - 08:00', '', '', '', '', '', '']","['08:00 - 09:00', '', 'Metaheurística', 'Introdução à Probabilidade e Estatística Prof. Edson', 'Inglês Técnico', 'Inglês Instrumental II', '']","['09:00 - 10:00', '', '', '', '', '', '']","['10:00 - 11:00', 'Física Geral II', 'Profa. Jacqueline', 'Física Geral II', 'Prof. Sergio', 'Prof. Sergio', '']","['11:00 - 12:00', '', '', '', '', '', '']","['12:00 - 13:00', '', '', 'Introdução à Probabilidade e', '', '', '']","['13:00 - 14:00', '', '', 'Estatística Prof. Edson', '', '', '']","['14:00 - 15:00', 'Cálculo Diferencial e Integral II Prof. Oscar', 'Química Orgânica', 'Cálculo Diferencial e Integral II', 'Monitoria Química Geral I', '', '']","['15:00 - 16:00', '', '', '', '', '', '']","['16:00 - 17:00', 'Cálculo Diferencial', 'Cálculo Diferencial', '', 'Cálculo Diferencial', '', '']","['17:00 - 18:00', 'Prof. Niander', 'Prof. Niander', '', 'Prof. Niander', '', '']","['18:00 - 19:00', 'Cálculo Diferencial e Integral I LF-LQ Prof. Niander', 'Cálculo Diferencial e Integral II Prof. Niander', 'Bioquímica Geral', 'Cálculo Diferencial e Integral II Prof. Niander', 'Química Analítica I Profa. Cristina', '']","['19:00 - 20:00', '', '', '', '', '', '']","['20:00 - 21:00', '', 'Cálculo Diferencial e Integral I LF-LQ Prof. Niander', 'Prof. Jorge Hernandez', 'Cálculo Diferencial e Integral I LF-LQ Prof. Niander', '', '']","['21:00 - 22:00', '', '', '', '', '', '']"
"['SALA 109-A  Prédio do CCT - 2o. Semestre 2022', '', '', '', '', '', '']","['Capacidade: 35 alunos', '', '', '', '', '', '']","['Horário', 'SEGUNDA', 'TERÇA', 'QUARTA', 'QUINTA', 'SEXTA', 'SÁBADO']","['07:00 - 08:00', '', '', '', '', '', '']","['08:00 - 09:00', '', 'Construção Civil', '', '', 'Mineralogia', '']","['09:00 - 10:00', '', 'Prof. Jonas', '', 'Aquecimento Global e', 'Profa. Márcia', '']","['10:00 - 11:00', '', 'Mineralogia Profa. Márcia', 'Gestão Estratégica Prof. Manuel Molina', 'Ciência da Complexidade Prof. Marcelo Sthel', 'Gestão Estratégica Prof. Manuel Molina', '']","['11:00 - 12:00', '', '', '', '', '', '']","['12:00 - 13:00', '', '', '', '', '', '']","['13:00 - 14:00', '', 'Metalurgia Geral Profa. Lioudmila', '', '', '', '']","['14:00 - 15:00', 'Profa. Lioudmila', 'Materiais Eletrônicos Prof. Herval', 'Química Orgânica', 'Química Medicinal Profa. Leda Mathias', 'Química Orgânica Profa. Leda Mathias', '']","['15:00 - 16:00', '', '', '', '', '', '']","['16:00 - 17:00', 'Materiais Eletrônicos Prof. Herval', 'Química Medicinal Profa. Leda Mathias', 'Química Ambiental Profa. Cristina', 'Monitoria Química Geral I', '', '']","['17:00 - 18:00', '', '', '', '', '', '']","['18:00 - 19:00', '', 'Química Inorgânica I Prof. Fernando', 'Prática de Ensino de Química I Profa. Rosana', 'Química Orgânica II Prof. Carlos', '', '']","['19:00 - 20:00', '', '', '', '', '', '']","['20:00 - 21:00', 'Estágio Supervisionado III Profa. Rosana', 'Química Orgânica II Prof. Carlos', 'Estágio Supervisionado I Profa. Rosana', 'Química Inorgânica I Prof. Fernando', '', '']","['21:00 - 22:00', '', '', '', '', '', '']"
"['SALA 109-B  Prédio do CCT - 2o. Semestre 2022', '', '', '', '', '', '']","['Capacidade: 40 alunos', '', '', '', '', '', '']","['Horário', 'SEGUNDA', 'TERÇA', 'QUARTA', 'QUINTA', 'SEXTA', 'SÁBADO']","['07:00 - 08:00', '', '', '', '', '', '']","['08:00 - 09:00', '', 'Int. à Probabilidade e', 'Sistemas', 'Int. à Probabilidade e', 'Sistemas', '']","['09:00 - 10:00', 'Recursos', 'Prof. Patrick', 'Prof. João', 'Prof. Patrick', 'Prof. João', '']","['10:00 - 11:00', 'no Ensino da Matemática Prof. Ausberto', 'Paradigmas de Linguagens Prof. Ausberto', 'Sistema Operacional Prof. João', 'Paradigmas de Linguagens Prof. Ausberto', 'Sistema Operacional Prof. João', '']","['11:00 - 12:00', '', '', '', '', '', '']","['12:00 - 13:00', '', '', '', '', '', '']","['13:00 - 14:00', '', '', '', '', '', '']","['14:00 - 15:00', 'Geometria Analítica', 'Teste de Software Prof.', 'Lógica Digital Profa. Sânya', 'Teste de Software Prof.', 'Lógica Digital Profa. Sânya', '']","['15:00 - 16:00', '', '', '', '', '', '']","['16:00 - 17:00', '', 'Teoria de Decisões', 'Banco de Dados II', 'Teoria de Decisões', 'Banco de Dados II', '']","['17:00 - 18:00', 'Seminário II Prof. Nelson', 'Profa. Gudelia', 'Profa. Sânya', 'Profa. Gudelia', 'Profa. Sânya', '']","['18:00 - 19:00', 'Álgebra Linear Turma-ENG', 'Cálculo Diferencial e Integral II Tura LF - LQ Prof. Paulo Beggio', 'Projeto de Extensão Matemática ao alcance de todos', 'Físico-Química I Prof. Alexandre', 'Projeto de Extensão Matemática ao alcance de todos', '']","['19:00 - 20:00', '', '', '', '', '', '']","['20:00 - 21:00', '', 'Físico-Química I Prof. Alexandre', '', '', '', '']","['21:00 - 22:00', '', '', '', '', '', '']"
"['', 'SALA 203-A  Prédio do CCT - 2o. Semestre 2022', '', '', '', '', '', '']","['', 'Capacidade: 35 alunos', '', '', '', '', '', '']","['', 'Horário', 'SEGUNDA', 'TERÇA', 'QUARTA', 'QUINTA', 'SEXTA', 'SÁBADO']","['', '07:00 - 08:00', '', '', '', '', '', '']","['', '08:00 - 09:00', '', '', '', '', 'Computação e Sociedade Turma: CC', '']","['', '09:00 - 10:00', '', '', '', '', '', '']","['', '10:00 - 11:00', 'Geotecnia das Fundações Prof. Paulo Maia', 'Fenômenos de Transporte Prof. Leandro', '', '', '', '']","['', '11:00 - 12:00', '', '', '', '', '', '']","['', '12:00 - 13:00', '', '', '', '', '', '']","['', '13:00 - 14:00', '', '', '', '', '', '']","['', '14:00 - 15:00', 'Introdução à Espetroscopia Prof. Roberto Franco', 'Ressonância Magnética Eletrônica Prof. Roberto Franco', 'Introdução à Espetroscopia Prof. Roberto Franco', 'Cristalografia e difração de Raio X Prof. Pablo Bernardo', 'Ressonância Magnética', '']","['', '15:00 - 16:00', '', '', '', '', '', '']","['', '16:00 - 17:00', 'Dualidade da Luz e da partícula Profs. Marcelo, Leonardo e André', 'Cristalografia e difração de Raio X Prof. Pablo Bernardo', 'Fenômenos de Transporte Prof. Leandro', '', 'Eletrônica Prof. Roberto Franco', '']","['', '17:00 - 18:00', '', '', '', '', '', '']","['', '18:00 - 19:00', 'Análise na Reta Prof. Paulo Dias', '', 'Análise na Reta Prof. Paulo Dias', '', 'Estágio II Profa. Bruna', '']","['', '19:00 - 20:00', '', '', '', '', '', '']","['', '20:00 - 21:00', 'Laboratório de', 'Variáveis Complexas', 'Prática Pedagógica II', 'Variáveis Complexas', 'Lab. Matemática III', '']","['', '21:00 - 22:00', 'Prof. Nilson', 'Prof. Paulo Beggio', 'Prof. Nilson', 'Prof. Paulo Beggio', 'Prática Pedagógica II', '']"
"['SALA 206  Prédio do CCT - 2o. Semestre 2022', '', '', '', '', '', '']","['Capacidade: 40 alunos', '', '', '', '', '', '']","['Horário', 'SEGUNDA', 'TERÇA', 'QUARTA', 'QUINTA', 'SEXTA', 'SÁBADO']","['07:00 - 08:00', '', '', '', '', '', '']","['08:00 - 09:00', '', '', '', '', '', '']","['09:00 - 10:00', '', '', '', '', 'Propriedades Físicas', '']","['10:00 - 11:00', 'Física Geral III', 'Tecnologia em cerâmica vermelha', 'Física Geral III', '', 'e Químicas de Materiais Cimentícios prof. Guilherme', '']","['11:00 - 12:00', '', '', '', '', '', '']","['12:00 - 13:00', '', '', '', '', '', '']","['13:00 - 14:00', '', '', '', '', '', '']","['14:00 - 15:00', 'Prof. Nagipe EP', '', 'Química Orgânica', '', 'Química Orgânica Prof. Rodrigo', '']","['15:00 - 16:00', '', '', '', '', '', '']","['16:00 - 17:00', 'Programação II Prof. Rivera', 'Métodos Matemáticos Profa. Rebeca', 'Química Orgânica Prof. Rodrigo', 'Métodos Matemáticos Profa. Rebeca', '', '']","['17:00 - 18:00', '', '', '', '', '', '']","['18:00 - 19:00', 'Física Moderna I', '', 'Física Moderna I', 'Prova Laboratório de Física Geral I', '', '']","['19:00 - 20:00', '', '', '', '', '', '']","['20:00 - 21:00', 'Eletromagnetismo', '', 'Eletromagnetismo', 'Estratégias de Ensino II', '', '']","['21:00 - 22:00', '', '', '', '', '', '']"
